               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12176,             0.03395,            0.055999,          0.00030053,             0.02963,           0.0001983,          9.8747e-05,             0.12293,            0.026419,            0.052153,              0.0955,              0.0005,              0.0005
                   1,             0.10953,            0.031476,            0.055029,          0.00053433,            0.074074,          0.00050243,          0.00015405,             0.10472,             0.02283,             0.05117,            0.090096,           0.0010964,           0.0010964
                   2,            0.088147,            0.029994,            0.053056,           0.0023311,             0.47824,           0.0050836,           0.0017809,            0.083825,            0.020579,            0.048456,            0.084689,           0.0016888,           0.0016888
                   3,            0.080645,            0.029918,            0.050765,           0.0031441,               0.675,            0.017519,           0.0031587,            0.075028,            0.017948,            0.045376,            0.079277,           0.0022772,           0.0022772
                   4,            0.070101,            0.029773,            0.049034,           0.0036435,             0.74907,            0.099626,            0.026723,            0.068357,            0.015881,            0.039066,            0.073862,           0.0028617,           0.0028617
                   5,             0.06601,            0.028088,            0.046448,           0.0045499,             0.71944,            0.093663,              0.0302,            0.069539,            0.014378,            0.037023,            0.068442,           0.0034422,           0.0034422
                   6,            0.058154,            0.025849,             0.04301,            0.064061,             0.47135,            0.094843,             0.02772,            0.069993,            0.015131,            0.037614,            0.063019,           0.0040188,           0.0040188
                   7,            0.062743,            0.028013,            0.040453,               0.365,            0.041803,            0.061421,            0.018335,            0.067794,            0.015294,            0.030617,            0.057591,           0.0045914,           0.0045914
                   8,            0.058909,            0.026845,            0.039316,             0.27979,              0.1052,            0.094212,            0.028979,            0.067674,            0.015003,            0.027871,             0.05216,           0.0051601,           0.0051601
                   9,            0.060131,            0.024463,            0.034378,              0.5655,             0.37634,             0.31733,             0.12688,            0.063017,            0.013035,            0.023004,            0.046725,           0.0057248,           0.0057248
                  10,            0.058621,            0.025019,            0.033547,              0.5135,             0.32841,             0.31248,             0.13899,            0.069418,            0.012508,            0.021618,            0.041285,           0.0062855,           0.0062855
                  11,            0.059565,            0.023136,             0.03012,             0.47733,             0.35926,              0.2021,            0.073138,            0.063748,              0.0114,              0.0198,            0.035842,           0.0068423,           0.0068423
                  12,            0.054755,            0.022293,            0.029869,             0.16399,             0.31111,             0.20953,            0.075866,            0.061011,             0.01315,            0.018423,            0.030395,           0.0073951,           0.0073951
                  13,            0.058365,            0.021935,            0.027987,             0.54446,             0.28889,             0.21634,            0.074352,            0.064383,            0.012378,            0.021605,            0.024944,           0.0079439,           0.0079439
                  14,             0.05456,            0.022375,            0.026959,             0.76463,             0.14444,             0.13558,            0.054241,            0.078663,              0.0125,            0.020673,            0.019489,           0.0084888,           0.0084888
                  15,             0.05807,            0.022346,            0.025228,             0.53944,             0.34029,             0.28501,             0.11653,            0.062722,            0.011548,            0.018595,             0.01403,           0.0090297,           0.0090297
                  16,            0.054187,            0.022588,            0.025495,             0.88636,            0.033333,            0.032027,           0.0098613,             0.06561,            0.013021,            0.040767,            0.009472,            0.009472,            0.009472
                  17,            0.054585,            0.021059,            0.025222,             0.23522,             0.21713,             0.18197,            0.080117,            0.058992,            0.013231,            0.033906,            0.009472,            0.009472,            0.009472
                  18,            0.053762,            0.021013,            0.025289,             0.34439,              0.4412,             0.33822,             0.11701,            0.066161,            0.011906,            0.022411,            0.009439,            0.009439,            0.009439
                  19,            0.053457,            0.022219,            0.019547,             0.34887,             0.24666,             0.22465,            0.090584,            0.062678,            0.016397,            0.021284,            0.009406,            0.009406,            0.009406
                  20,            0.054199,            0.022427,            0.020604,              0.1474,             0.26898,             0.14527,            0.040978,            0.067163,            0.019176,            0.023911,            0.009373,            0.009373,            0.009373
                  21,            0.052044,            0.021316,            0.017919,             0.38376,             0.26786,             0.26407,             0.12185,            0.063813,               0.014,            0.017988,             0.00934,             0.00934,             0.00934
                  22,            0.052654,            0.021154,            0.020202,             0.41584,             0.36871,             0.29121,             0.10176,            0.063129,            0.015225,            0.018884,            0.009307,            0.009307,            0.009307
                  23,            0.053242,             0.02247,            0.022448,             0.59648,             0.26274,             0.27865,             0.11887,            0.063875,            0.012627,            0.014365,            0.009274,            0.009274,            0.009274
                  24,            0.053517,            0.021555,            0.020113,              0.1389,             0.19194,             0.13459,            0.040024,            0.068066,            0.012875,            0.025518,            0.009241,            0.009241,            0.009241
                  25,            0.050006,            0.020954,              0.0191,             0.73597,             0.12778,            0.097657,            0.032531,            0.063906,            0.027773,            0.049669,            0.009208,            0.009208,            0.009208
                  26,            0.053154,            0.020541,            0.019477,             0.35092,             0.26574,             0.18727,            0.059346,            0.068863,            0.017473,            0.027938,            0.009175,            0.009175,            0.009175
                  27,            0.050673,            0.023155,            0.019516,             0.44978,             0.14691,             0.11166,            0.031426,            0.069987,            0.015974,            0.018857,            0.009142,            0.009142,            0.009142
                  28,             0.05136,            0.022012,            0.021518,              0.3712,             0.20296,             0.13897,            0.041973,            0.067222,            0.013393,            0.016711,            0.009109,            0.009109,            0.009109
                  29,            0.051137,             0.02213,              0.0185,             0.27878,             0.19768,             0.14951,            0.050778,            0.070201,            0.012643,            0.019725,            0.009076,            0.009076,            0.009076
                  30,            0.050018,            0.020642,            0.018549,             0.22215,             0.21924,             0.17309,            0.072791,            0.060889,            0.013995,            0.032211,            0.009043,            0.009043,            0.009043
                  31,            0.052147,            0.020181,            0.017382,             0.48229,             0.40321,             0.28719,             0.10953,            0.062566,            0.012972,            0.020296,             0.00901,             0.00901,             0.00901
                  32,            0.051729,            0.020694,             0.01622,             0.53687,             0.24759,             0.21405,             0.10615,            0.065582,            0.013337,             0.02152,            0.008977,            0.008977,            0.008977
                  33,            0.051495,            0.021547,            0.017377,             0.55532,             0.37956,             0.39926,             0.13461,            0.060447,            0.012218,            0.012786,            0.008944,            0.008944,            0.008944
                  34,            0.048837,            0.021144,            0.015422,             0.39934,             0.24028,              0.2311,            0.092336,            0.056979,            0.014642,            0.021536,            0.008911,            0.008911,            0.008911
                  35,            0.049234,            0.020078,             0.01657,             0.59589,             0.18352,             0.16799,            0.061056,             0.06542,            0.012498,            0.027161,            0.008878,            0.008878,            0.008878
                  36,            0.047889,            0.021259,             0.01793,             0.78834,             0.24666,             0.29318,             0.11751,            0.068691,            0.013177,            0.035186,            0.008845,            0.008845,            0.008845
                  37,            0.047209,            0.022045,            0.016884,             0.51544,             0.36713,             0.29553,             0.12457,            0.060876,            0.013014,            0.028361,            0.008812,            0.008812,            0.008812
                  38,            0.048393,             0.02161,             0.01433,             0.65413,             0.36142,             0.43528,              0.1694,            0.059986,             0.01219,            0.011373,            0.008779,            0.008779,            0.008779
                  39,            0.047033,            0.020704,            0.015758,             0.59671,             0.31659,             0.31939,             0.13015,            0.057284,             0.01435,            0.018899,            0.008746,            0.008746,            0.008746
                  40,            0.049147,            0.021511,            0.016382,              0.5196,             0.36897,             0.31023,             0.12578,            0.058923,             0.01243,            0.017902,            0.008713,            0.008713,            0.008713
                  41,            0.047754,            0.019907,            0.013524,             0.35733,             0.36641,             0.26757,             0.11457,            0.056815,            0.013177,            0.011197,             0.00868,             0.00868,             0.00868
                  42,            0.045786,            0.020078,            0.015235,             0.40662,             0.35784,             0.31531,             0.13433,            0.058854,            0.013725,            0.019872,            0.008647,            0.008647,            0.008647
                  43,            0.046423,            0.021543,            0.013771,             0.41828,             0.44108,             0.42236,             0.17475,            0.054688,            0.013431,            0.014687,            0.008614,            0.008614,            0.008614
                  44,            0.045943,            0.021792,            0.014642,              0.3608,             0.40619,             0.27299,            0.097649,            0.057287,            0.015555,            0.011302,            0.008581,            0.008581,            0.008581
                  45,            0.046388,            0.020963,            0.015047,             0.29353,             0.38843,             0.30092,             0.10883,            0.057738,            0.014238,            0.019157,            0.008548,            0.008548,            0.008548
